"filename", "language", "Properties", "Python", "C", "PowerShell", "Shell Script", "HTML", "JavaScript", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageOps.py", "Python", 0, 585, 0, 0, 0, 0, 0, 0, 0, 0, 52, 109, 746
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImagePalette.py", "Python", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 25, 49, 287
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImagePath.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 21
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageQt.py", "Python", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 31, 39, 221
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageSequence.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 87
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageShow.py", "Python", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 20, 76, 361
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageStat.py", "Python", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 22, 26, 161
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageTk.py", "Python", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 39, 51, 267
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageTransform.py", "Python", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 15, 41, 137
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageWin.py", "Python", 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 18, 43, 248
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImtImagePlugin.py", "Python", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 27, 22, 104
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\IptcImagePlugin.py", "Python", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 39, 52, 250
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\Jpeg2KImagePlugin.py", "Python", 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 33, 67, 443
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\JpegImagePlugin.py", "Python", 0, 657, 0, 0, 0, 0, 0, 0, 0, 0, 139, 110, 906
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\JpegPresets.py", "Python", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 243
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\McIdasImagePlugin.py", "Python", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 81
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\MicImagePlugin.py", "Python", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 29, 27, 103
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\MpegImagePlugin.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 21, 23, 89
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\MpoImagePlugin.py", "Python", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 196
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\MspImagePlugin.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 71, 39, 201
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PSDraw.py", "Python", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 50, 28, 238
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PaletteFile.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 55
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PalmImagePlugin.py", "Python", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 33, 37, 218
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PcdImagePlugin.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15, 65
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PcfFontFile.py", "Python", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 33, 62, 255
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PcxImagePlugin.py", "Python", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 53, 46, 230
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PdfImagePlugin.py", "Python", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 54, 47, 312
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PdfParser.py", "Python", 0, 961, 0, 0, 0, 0, 0, 0, 0, 0, 19, 95, 1075
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PixarImagePlugin.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 31, 20, 73
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PngImagePlugin.py", "Python", 0, 1172, 0, 0, 0, 0, 0, 0, 0, 0, 142, 235, 1549
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PpmImagePlugin.py", "Python", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 46, 61, 376
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\PsdImagePlugin.py", "Python", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 51, 70, 334
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\QoiImagePlugin.py", "Python", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 116
